usuario_id,producto_visto,categoria,tiempo_visualizacion,hizo_pedido,calificacion,hora_del_dia,comentario
124,Soda Italiana de Maracuyá,Bebidas Frías,181,True,3.0,17:05,
144,Samuel Smith's Organic Chocolate Stout, Inglesa,118,False,,16:23,
108,Papas Bravas,Snacks,160,True,4.0,22:53,
136,Nevado de Mocca,Bebidas Frías,73,False,,22:23,
24,Soda Italiana de Lulo,Bebidas Frías,52,False,,22:41,
64,Smoothie de Maracuyá,Bebidas Frías,202,False,,18:53,
66,Milo Caliente,Bebidas Calientes,189,False,,16:33,
144,Espresso Doble,Bebidas Calientes,102,False,,20:27,
9,Espresso Doble,Bebidas Calientes,274,False,,20:47,
103,Granizado de Mocca,Bebidas Frías,182,False,,23:04,
81,Gaffel Kölsch, Alemana,41,True,5.0,18:27,
11,Alitas de Pollo,Snacks,120,True,3.0,20:41,
48,Marston's Pedigree, Inglesa,98,False,,16:40,
124,Rollitos de Primavera,Snacks,181,False,,18:37,
143,CABEZA DE JABALÍ,Cocteles,233,True,1.0,16:56,
142,Nevado de Oreo,Bebidas Frías,124,False,,17:30,
102,3 Cordilleras Blanca, Craft,186,False,,16:11,
143,Nevado de Oreo,Bebidas Frías,253,False,,18:41,
96,Orval, Belga,234,False,,17:19,
95,Molletes,Snacks,234,True,2.0,17:55,
28,Midnight Stout, Craft,160,False,,17:14,
21,CAIPIRIÑA,Cocteles,254,False,,16:30,
140,COSMOPOLITAN,Cocteles,202,True,2.0,19:33,
66,Nevado de Milo,Bebidas Frías,91,True,3.0,19:18,
35,Cranberry Crush, Craft,65,False,,16:33,
138,Soda Italiana de Maracuyá,Bebidas Frías,68,True,1.0,18:12,
64,Delirium Red, Craft,69,True,4.0,23:58,
106,Café Americano,Bebidas Calientes,154,False,,21:29,
32,Nevado de Mocca,Bebidas Frías,220,True,3.0,21:10,
38,Café Campesino,Bebidas Calientes,179,False,,19:44,
27,Ginger Honey,,91,True,5.0,18:11,
121,Wychwood Hobgoblin, Inglesa,14,False,,22:10,
142,Escandinava Freya,,294,True,1.0,19:30,
75,Soda de Coca-Cola,Bebidas Frías,96,False,,17:08,
121,Limonada Natural,Bebidas Frías,138,False,,18:39,
145,Alitas de Pollo,Snacks,11,False,,16:39,
127,Club Colombia Negra, Not Craft,244,True,4.0,21:03,
58,Aros de Cebolla,Snacks,10,True,2.0,16:11,
27,Plum Paradise Pilsner, Artesanal,39,True,4.0,18:47,
78,Amaretto,Bebidas Calientes,106,True,4.0,21:38,
143,Lindemans Framboise, Belga,159,False,,23:54,
128,Weltenburger Kloster Asam-Bock, Alemana,59,True,1.0,16:20,
103,Alas BBQ,Snacks,42,False,,17:41,
4,Cherry Blossom Euphoria, Artesanal,114,False,,23:46,
87,AFFOGATO,Postres,240,False,,20:51,
127,MOJITO,Cocteles,145,False,,16:26,
11,Soda de Ginger,Bebidas Frías,251,True,1.0,22:37,
65,Café Campesino,Bebidas Calientes,234,True,4.0,20:24,
